TOTAL CLASSES: 1588

__AbsoluteTimerInstruction  | methods: 
BcdUnknownElement  | methods: 
BfeTraceProvider  | methods: 
Bid2Etw_ADODB_1  | methods: 
Bid2Etw_ADODB_1_Trace  | methods: 
Bid2Etw_ADODB_1_Trace_TextA  | methods: 
Bid2Etw_ADODB_1_Trace_TextW  | methods: 
Bid2Etw_ADOMD_1  | methods: 
Bid2Etw_ADOMD_1_Trace  | methods: 
Bid2Etw_ADOMD_1_Trace_TextA  | methods: 
Bid2Etw_ADOMD_1_Trace_TextW  | methods: 
Bid2Etw_BCP_1  | methods: 
Bid2Etw_BCP_1_Trace  | methods: 
Bid2Etw_BCP_1_Trace_TextA  | methods: 
Bid2Etw_BCP_1_Trace_TextW  | methods: 
Bid2Etw_DBNETLIB_1  | methods: 
Bid2Etw_DBNETLIB_1_Trace  | methods: 
Bid2Etw_DBNETLIB_1_Trace_TextA  | methods: 
Bid2Etw_DBNETLIB_1_Trace_TextW  | methods: 
Bid2Etw_MSADCE_1  | methods: 
Bid2Etw_MSADCE_1_Trace  | methods: 
Bid2Etw_MSADCE_1_Trace_TextA  | methods: 
Bid2Etw_MSADCE_1_Trace_TextW  | methods: 
Bid2Etw_MSADCF_1  | methods: 
Bid2Etw_MSADCF_1_Trace  | methods: 
Bid2Etw_MSADCF_1_Trace_TextA  | methods: 
Bid2Etw_MSADCF_1_Trace_TextW  | methods: 
Bid2Etw_MSADCO_1  | methods: 
Bid2Etw_MSADCO_1_Trace  | methods: 
Bid2Etw_MSADCO_1_Trace_TextA  | methods: 
Bid2Etw_MSADCO_1_Trace_TextW  | methods: 
Bid2Etw_MSADDS_1  | methods: 
Bid2Etw_MSADDS_1_Trace  | methods: 
Bid2Etw_MSADDS_1_Trace_TextA  | methods: 
Bid2Etw_MSADDS_1_Trace_TextW  | methods: 
Bid2Etw_MSADOX_1  | methods: 
Bid2Etw_MSADOX_1_Trace  | methods: 
Bid2Etw_MSADOX_1_Trace_TextA  | methods: 
Bid2Etw_MSADOX_1_Trace_TextW  | methods: 
Bid2Etw_MSDADIAG_ETW  | methods: 
Bid2Etw_MSDADIAG_ETW_Trace  | methods: 
Bid2Etw_MSDADIAG_ETW_Trace_TextA  | methods: 
Bid2Etw_MSDADIAG_ETW_Trace_TextW  | methods: 
Bid2Etw_MSDAPRST_1  | methods: 
Bid2Etw_MSDAPRST_1_Trace  | methods: 
Bid2Etw_MSDAPRST_1_Trace_TextA  | methods: 
Bid2Etw_MSDAPRST_1_Trace_TextW  | methods: 
Bid2Etw_MSDAREM_1  | methods: 
Bid2Etw_MSDAREM_1_Trace  | methods: 
Bid2Etw_MSDAREM_1_Trace_TextA  | methods: 
Bid2Etw_MSDAREM_1_Trace_TextW  | methods: 
Bid2Etw_MSDART_1  | methods: 
Bid2Etw_MSDART_1_Trace  | methods: 
Bid2Etw_MSDART_1_Trace_TextA  | methods: 
Bid2Etw_MSDART_1_Trace_TextW  | methods: 
Bid2Etw_MSDASQL_1  | methods: 
Bid2Etw_MSDASQL_1_Trace  | methods: 
Bid2Etw_MSDASQL_1_Trace_TextA  | methods: 
Bid2Etw_MSDASQL_1_Trace_TextW  | methods: 
Bid2Etw_MSDATL3_1  | methods: 
Bid2Etw_MSDATL3_1_Trace  | methods: 
Bid2Etw_MSDATL3_1_Trace_TextA  | methods: 
Bid2Etw_MSDATL3_1_Trace_TextW  | methods: 
Bid2Etw_ODBC_1  | methods: 
Bid2Etw_ODBC_1_Trace  | methods: 
Bid2Etw_ODBC_1_Trace_TextA  | methods: 
Bid2Etw_ODBC_1_Trace_TextW  | methods: 
Bid2Etw_ODBCBCP_1  | methods: 
Bid2Etw_ODBCBCP_1_Trace  | methods: 
Bid2Etw_ODBCBCP_1_Trace_TextA  | methods: 
Bid2Etw_ODBCBCP_1_Trace_TextW  | methods: 
Bid2Etw_OLEDB_1  | methods: 
Bid2Etw_OLEDB_1_Trace  | methods: 
Bid2Etw_OLEDB_1_Trace_TextA  | methods: 
Bid2Etw_OLEDB_1_Trace_TextW  | methods: 
Bid2Etw_RowsetHelper_1  | methods: 
Bid2Etw_RowsetHelper_1_Trace  | methods: 
Bid2Etw_RowsetHelper_1_Trace_TextA  | methods: 
Bid2Etw_RowsetHelper_1_Trace_TextW  | methods: 
Bid2Etw_SQLOLEDB_1  | methods: 
Bid2Etw_SQLOLEDB_1_Trace  | methods: 
Bid2Etw_SQLOLEDB_1_Trace_TextA  | methods: 
Bid2Etw_SQLOLEDB_1_Trace_TextW  | methods: 
Bid2Etw_SQLSRV32_1  | methods: 
Bid2Etw_SQLSRV32_1_Trace  | methods: 
Bid2Etw_SQLSRV32_1_Trace_TextA  | methods: 
Bid2Etw_SQLSRV32_1_Trace_TextW  | methods: 
BITSServiceTrace  | methods: 
CancelKTimer2  | methods: 
CertificateServicesClient  | methods: 
CertificateServicesClient_CredentialRoaming  | methods: 
CIM_ClassCreation  | methods: 
CIM_ClassDeletion  | methods: 
CIM_ClassIndication  | methods: 
CIM_ClassModification  | methods: 
CIM_Error  | methods: 
CIM_Indication  | methods: 
CIM_InstCreation  | methods: 
CIM_InstDeletion  | methods: 
CIM_InstIndication  | methods: 
CIM_InstModification  | methods: 
CIM_StatisticalInformation  | methods: 
ClasspnpGuid  | methods: 
Close  | methods: 
Close_End  | methods: 
Close_Start  | methods: 
CLRAuthenticodeVerification  | methods: 
CLRLoader  | methods: 
CLRMethod  | methods: 
CLRStrongNameVerification  | methods: 
CLRTrace  | methods: 
CMsftMultisessionSequential  | methods: 
CompCS  | methods: 
Contention  | methods: 
ContextRegistersAMD64  | methods: 
ContextRegistersARM64  | methods: 
CounterCorruptionStatus  | methods: 
CreateIOThread  | methods: 
CreateTrustedDomEx  | methods: 
CreateTrustedDomEx_End  | methods: 
CreateTrustedDomEx_Start  | methods: 
CreateWorkerThread  | methods: 
CritSecCollision  | methods: 
CritSecInit  | methods: 
CritSecTrace  | methods: 
CritSecTraceProvider  | methods: 
CscApi  | methods: 
CscDclUser  | methods: 
CscFastSync  | methods: 
CscNetApi  | methods: 
CscService  | methods: 
CscUm  | methods: 
CSwitch_V1  | methods: 
CSwitch_V2  | methods: 
CSwitch_V3  | methods: 
CSwitch_V4  | methods: 
CtlGuid  | methods: 
CtlGuidAssocDB  | methods: 
CtlGuidBthMtpEnum  | methods: 
CtlGuidFDSSDP  | methods: 
CtlGuidFDWSD  | methods: 
CtlGuidPortableDeviceAPI  | methods: 
CtlGuidPortableDeviceClassExtension  | methods: 
CtlGuidPortableDeviceConnectApi  | methods: 
CtlGuidPortableDeviceTypes  | methods: 
CtlGuidUMB  | methods: 
CtlGuidWMP  | methods: 
CtlGuidWpdBusEnum  | methods: 
CtlGuidWPDCI  | methods: 
CtlGuidWpdFs  | methods: 
CtlGuidWpdMtp  | methods: 
CtlGuidWpdShellExtension  | methods: 
CtlGuidWPDShServiceObj  | methods: 
CtlGuidWPDSP  | methods: 
Debugger  | methods: 
DebuggerEnabled  | methods: 
DebugPrint_Event  | methods: 
DedupTracingEventClass  | methods: 
DedupTracingEventClass_DedupTracingEventTypeClass  | methods: 
DedupTracingProvider  | methods: 
DigestDebugTrace  | methods: 
DimmSpdBuffer  | methods: 
DisableKTimer2  | methods: 
DiskGuid  | methods: 
DiskIo  | methods: 
DiskIo_TypeGroup1  | methods: 
DiskIo_TypeGroup2  | methods: 
DiskIo_TypeGroup3  | methods: 
DiskIo_V0  | methods: 
DiskIo_V0_TypeGroup1  | methods: 
DiskIo_V1  | methods: 
DiskIo_V1_TypeGroup1  | methods: 
DiskIo_V2  | methods: 
DiskIo_V2_TypeGroup1  | methods: 
DiskIo_V2_TypeGroup2  | methods: 
DiskIo_V2_TypeGroup3  | methods: 
Dll  | methods: 
DPC  | methods: 
DPC_V1  | methods: 
DriverCompleteRequest  | methods: 
DriverCompleteRequestReturn  | methods: 
DriverCompletionRoutine  | methods: 
DriverMajorFunctionCall  | methods: 
DriverMajorFunctionReturn  | methods: 
DriverManagerTraceGuid  | methods: 
EA_IME_API  | methods: 
EnumTrstedDomEx  | methods: 
EnumTrstedDomEx_End  | methods: 
EnumTrstedDomEx_Start  | methods: 
EnumTrustedDoms  | methods: 
EnumTrustedDoms_End  | methods: 
EnumTrustedDoms_Start  | methods: 
EventTrace  | methods: 
EventTrace_Header  | methods: 
EventTrace_V0_Header  | methods: 
EventTrace_V1_Header  | methods: 
EventTraceEvent  | methods: 
EventTraceEvent_V0  | methods: 
EventTraceEvent_V1  | methods: 
Exceptions  | methods: 
ExceptionThrown  | methods: 
FDCtlGuid  | methods: 
fdpHostCtlGuid  | methods: 
fdResPubCtlGuid  | methods: 
FDWNetCtlGuid  | methods: 
FileIo  | methods: 
FileIo_Create  | methods: 
FileIo_DirEnum  | methods: 
FileIo_Info  | methods: 
FileIo_Name  | methods: 
FileIo_OpEnd  | methods: 
FileIo_PathOperation  | methods: 
FileIo_ReadWrite  | methods: 
FileIo_SimpleOp  | methods: 
FileIo_V0  | methods: 
FileIo_V0_Name  | methods: 
FileIo_V1  | methods: 
FileIo_V1_Name  | methods: 
FileIo_V2  | methods: 
FileIo_V2_Create  | methods: 
FileIo_V2_DirEnum  | methods: 
FileIo_V2_Info  | methods: 
FileIo_V2_MapFile  | methods: 
FileIo_V2_Name  | methods: 
FileIo_V2_OpEnd  | methods: 
FileIo_V2_ReadWrite  | methods: 
FileIo_V2_SimpleOp  | methods: 
FileOperation  | methods: 
FileSystemImageTracing  | methods: 
FileTrace  | methods: 
FinalizeKTimer2  | methods: 
FirewallAPI  | methods: 
FltIoCompletion  | methods: 
FltIoFailure  | methods: 
FltIoInit  | methods: 
FrameworkTraceGuid  | methods: 
FreeSegment  | methods: 
FrequencyRangeDescriptor  | methods: 
FusionNGENBinder  | methods: 
FWCFG  | methods: 
FwpkclntTraceProvider  | methods: 
FwpuclntTraceProvider  | methods: 
GarbageCollection  | methods: 
GCEnd  | methods: 
GCFinalizersBegin  | methods: 
GCFinalizersEnd  | methods: 
GCRestartEEEnd  | methods: 
GCStart  | methods: 
GCSuspendEEEnd  | methods: 
GetdValuesPackage  | methods: 
GetMinMaxSteppingPackage  | methods: 
HBAFC3MgmtInfo  | methods: 
HBAFCPBindingEntry  | methods: 
HBAFCPBindingEntry2  | methods: 
HBAFCPID  | methods: 
HBAFCPScsiEntry  | methods: 
HBAScsiID  | methods: 
HDAudBus_DMA  | methods: 
HDAudioBus_Enum  | methods: 
HDAudioBusEvent  | methods: 
HDAudioControllerErrorStatus  | methods: 
HDAudioDmaEngineErrorStatus  | methods: 
HDAudioErrorStatus  | methods: 
Header_BuildInfo_TypeGroup  | methods: 
Header_DbgIdRSDS_TypeGroup  | methods: 
Header_Extension_TypeGroup  | methods: 
Header_Extension_V0_TypeGroup  | methods: 
Header_Extension_V1_TypeGroup  | methods: 
Header_LastDroppedTimes_TypeGroup  | methods: 
Header_PartitionInfoExtension_TypeGroup  | methods: 
Header_PartitionInfoExtensionV2_TypeGroup  | methods: 
Header_ProviderBinaryPath_TypeGroup  | methods: 
Heap_SubsegmentGroup  | methods: 
Heap_TypeGroup1  | methods: 
HeapAffinityManagerEnable  | methods: 
HeapAffinitySlotAssigned  | methods: 
HeapAffinitySlotChanged  | methods: 
HeapAlloc  | methods: 
HeapCommitDecommit  | methods: 
HeapContract  | methods: 
HeapCreate  | methods: 
HeapCreate_V2  | methods: 
HeapExpand  | methods: 
HeapFree  | methods: 
HeapRealloc  | methods: 
HeapSnapShot  | methods: 
HeapSnapShot_V2  | methods: 
HeapStats  | methods: 
HeapSubSegmentActivated  | methods: 
HeapSubsegmentInitialize  | methods: 
HeapSubsegmentReuseThresholdActivated  | methods: 
HeapTrace  | methods: 
HeapTrace_V2  | methods: 
HeapTraceProvider  | methods: 
HID_EVENT20  | methods: 
HID_EVENT21  | methods: 
HID_EVENT22  | methods: 
HID_EVENT23  | methods: 
HostProcessTraceGuid  | methods: 
HV_Hypercall  | methods: 
HypercallPage  | methods: 
IdleAccounting  | methods: 
IdleAccountingEx  | methods: 
IdleExitLatency  | methods: 
IdleStateAccounting  | methods: 
IdleStateAccountingEx  | methods: 
IdleStateBucketEx  | methods: 
IHVServiceFrameworkCtlGuid  | methods: 
IkeextTraceProvider  | methods: 
Image  | methods: 
Image_Load  | methods: 
Image_Load_V2  | methods: 
Image_V0  | methods: 
Image_V0_Load  | methods: 
Image_V1  | methods: 
Image_V1_Load  | methods: 
Image_V2  | methods: 
ImapiV1Shim  | methods: 
IOThreadCreation  | methods: 
IOThreadRetirement  | methods: 
IoTimerEvent  | methods: 
IPMIDRIVER  | methods: 
IPMIPrv  | methods: 
IpsecPolicyAgent  | methods: 
IpsecPolStore  | methods: 
iScsi  | methods: 
ISCSI_ConnectionStaticInfo  | methods: 
ISCSI_IP_Address  | methods: 
ISCSI_LoginOptions  | methods: 
ISCSI_LUNList  | methods: 
ISCSI_Path  | methods: 
ISCSI_PortalInfo  | methods: 
ISCSI_RedirectPortalInfo  | methods: 
ISCSI_RedirectSessionInfo  | methods: 
ISCSI_SessionStaticInfo  | methods: 
ISCSI_Supported_LB_Policies  | methods: 
ISCSI_TargetMapping  | methods: 
ISCSI_TargetPortal  | methods: 
ISCSI_TargetPortalGroup  | methods: 
ISR  | methods: 
ISR_MSI  | methods: 
ISR_Unexpected  | methods: 
ISR_V1  | methods: 
KerbAcceptSecurityContext  | methods: 
KerbAcceptSecurityContext_End  | methods: 
KerbAcceptSecurityContext_Start  | methods: 
KerbChangePassword  | methods: 
KerbChangePassword_End  | methods: 
KerbChangePassword_Start  | methods: 
KerberosDebugTrace  | methods: 
KerbInitSecurityContext  | methods: 
KerbInitSecurityContext_End  | methods: 
KerbInitSecurityContext_Start  | methods: 
KerbLogonUser  | methods: 
KerbLogonUser_End  | methods: 
KerbLogonUser_Start  | methods: 
KerbSetPassword  | methods: 
KerbSetPassword_End  | methods: 
KerbSetPassword_Start  | methods: 
KernelIdleState  | methods: 
KernelIdleStateChange  | methods: 
KernelIdleStates  | methods: 
KernelImageBase  | methods: 
KernelPerfState  | methods: 
KernelPerfStateChange  | methods: 
KernelPerfStateDomainChange  | methods: 
KernelPerfStates  | methods: 
KernelQueueDequeue  | methods: 
KernelQueueEnqueue  | methods: 
KernelThermalConstraintChange  | methods: 
KernelThermalPolicyChange  | methods: 
KmdfTraceGuid  | methods: 
LBR_V2  | methods: 
LbrRecord_V2  | methods: 
LbrRecordEntry  | methods: 
LLTDIO  | methods: 
LLTDSVC  | methods: 
LoaderBaseEvent  | methods: 
LoaderBasicEvent  | methods: 
LoaderCodedEvent  | methods: 
LoaderCodedEventPath  | methods: 
LoaderCodedEventStatus  | methods: 
LoaderDllSearchResults  | methods: 
LoaderNewDllEvent  | methods: 
LoaderPathSearchResults  | methods: 
LookupNames  | methods: 
LookupNames_End  | methods: 
LookupNames_Start  | methods: 
LookupSids  | methods: 
LookupSids_End  | methods: 
LookupSids_Start  | methods: 
Lost_Event  | methods: 
LpcDriverTraceGuid  | methods: 
LpcTraceGuid  | methods: 
Mark_V0  | methods: 
MethodLoadUnLoad  | methods: 
MethodLoadUnLoadVerbose  | methods: 
MICommonInterface  | methods: MiInterface
MMC  | methods: 
MMCSS_TypeGroup  | methods: 
MMCSSEvent  | methods: 
MMCSSTrace  | methods: 
MMCSSWakeup  | methods: 
MobilityCenterTrace  | methods: 
MobTabPerfTraceProvider  | methods: 
ModuleLoadUnLoad  | methods: 
ModuleNgenBindRejectInfo  | methods: 
Monitor  | methods: 
Mountmgr  | methods: 
MpsDrvTrace  | methods: 
MpsIpsecClient  | methods: 
Mpssvc  | methods: 
MS_SM_AdapterEvent  | methods: 
MS_SM_AdapterInformationQuery  | methods: 
MS_SM_EventControl  | methods: SM_AddTarget,SM_RemoveTarget,SM_AddPort,SM_RemovePort,SM_AddLink,SM_RemoveLink
MS_SM_FabricAndDomainManagementMethods  | methods: SM_SendTEST,SM_SendECHO,SM_SendSMPPassThru,SM_SendCTPassThru,SM_GetRNIDMgmtInfo,SM_SetRNIDMgmtInfo,SM_SendRNID,SM_SendRPL,SM_SendRPS,SM_SendSRL,SM_SendLIRR,SM_SendRLS
MS_SM_HbaApiVersion  | methods: 
MS_SM_PortEvent  | methods: 
MS_SM_PortInformationMethods  | methods: SM_GetPortType,SM_GetAdapterPortAttributes,SM_GetDiscoveredPortAttributes,SM_GetPortAttributesByWWN,SM_GetProtocolStatistics,SM_GetPhyStatistics,SM_GetFCPhyAttributes,SM_GetSASPhyAttributes,SM_RefreshInformation
MS_SM_ScsiInformationMethods  | methods: SM_ScsiInquiry,SM_ScsiReportLuns,SM_ScsiReadCapacity
MS_SM_TargetEvent  | methods: 
MS_SM_TargetInformationMethods  | methods: SM_GetTargetMapping,SM_GetBindingCapability,SM_GetBindingSupport,SM_SetBindingSupport,SM_GetPersistentBinding,SM_SetPersistentBinding,SM_RemovePersistentBinding,SM_GetLUNStatistics
MS_SmBios  | methods: 
MS_SMHBA_BINDINGENTRY  | methods: 
MS_SMHBA_FC_PHY  | methods: 
MS_SMHBA_FC_Port  | methods: 
MS_SMHBA_PORTATTRIBUTES  | methods: 
MS_SMHBA_PORTLUN  | methods: 
MS_SMHBA_PROTOCOLSTATISTICS  | methods: 
MS_SMHBA_SAS_PHY  | methods: 
MS_SMHBA_SAS_Port  | methods: 
MS_SMHBA_SASPHYSTATISTICS  | methods: 
MS_SMHBA_SCSIENTRY  | methods: 
MS_SystemInformation  | methods: 
MS_WmiInternal  | methods: 
MSAcpi  | methods: 
MSAcpi_ThermalZoneTemperature  | methods: 
MSAcpiInfo  | methods: 
MSAgp  | methods: 
MSAgp_Information  | methods: 
MSBatteryClass  | methods: 
MSBatteryClassEvent  | methods: 
MSChangerDriver  | methods: 
MSChangerParameters  | methods: 
MSChangerProblemDeviceError  | methods: 
MSChangerProblemEvent  | methods: 
MSDeviceUI  | methods: 
MSDeviceUI_FirmwareRevision  | methods: 
MSDiskDriver  | methods: 
MSDiskDriver_Geometry  | methods: 
MSDiskDriver_Performance  | methods: 
MSDiskDriver_PerformanceData  | methods: 
MSFC_AdapterEvent  | methods: 
MSFC_DH_Chap_Parameters  | methods: 
MSFC_EventBuffer  | methods: 
MSFC_EventControl  | methods: AddTarget,RemoveTarget,AddPort,RemovePort,AddLink,RemoveLink
MSFC_FC4STATISTICS  | methods: 
MSFC_FCAdapterHBAAttributes  | methods: 
MSFC_FibrePortHBAAttributes  | methods: 
MSFC_FibrePortHBAMethods  | methods: ResetStatistics
MSFC_FibrePortHBAStatistics  | methods: 
MSFC_FibrePortNPIVAttributes  | methods: 
MSFC_FibrePortNPIVMethods  | methods: CreateVirtualPort,RemoveVirtualPort
MSFC_FibrePortNPIVMethodsEx  | methods: SetChapForPhysicalPort,RemoveChapForPhysicalPort,CreateVirtualPortEx,CreateVirtualPortExUsingDHCHAP,RemoveVirtualPortEx,RescanVirtualPort
MSFC_HBAAdapterMethods  | methods: GetDiscoveredPortAttributes,GetPortAttributesByWWN,RefreshInformation,SendCTPassThru,SendRNID,SendRNIDV2,GetFC3MgmtInfo,SetFC3MgmtInfo,SendRPL,SendRPS,SendSRL,SendLIRR,GetFC4Statistics,GetFCPStatistics,ScsiInquiry,ScsiReadCapacity,ScsiReportLuns,GetEventBuffer,SendRLS
MSFC_HbaApiVersion  | methods: 
MSFC_HBAFCPInfo  | methods: GetFcpTargetMapping,GetFcpPersistentBinding,GetBindingCapability,GetBindingSupport,SetBindingSupport,GetPersistentBinding2,SetPersistentEntry,RemovePersistentEntry
MSFC_HBAPortAttributesResults  | methods: 
MSFC_HBAPortStatistics  | methods: 
MSFC_LinkEvent  | methods: 
MSFC_NPIVCapabilities  | methods: 
MSFC_NPIVLUNMappingInformation  | methods: 
MSFC_NPIVLUNMappingInformationEx  | methods: 
MSFC_PortEvent  | methods: 
MSFC_TargetEvent  | methods: 
MSFC_TM  | methods: 
MSFC_VirtualFibrePortAttributes  | methods: 
MSFT_ExtendedStatus  | methods: 
MSFT_WmiError  | methods: 
MsftDiscFormat2Data  | methods: 
MsftDiscFormat2Erase  | methods: 
MsftDiscFormat2MsfAddress  | methods: 
MsftDiscFormat2RawCD  | methods: 
MsftDiscFormat2RawImage  | methods: 
MsftDiscFormat2StreamConcatenate  | methods: 
MsftDiscFormat2StreamInterleave  | methods: 
MsftDiscFormat2StreamRandom  | methods: 
MsftDiscFormat2StreamZero  | methods: 
MsftDiscFormat2Tao  | methods: 
MsftDiscMaster2  | methods: 
MsftDiscRecorder2  | methods: 
MsftEnumDiscRecorder2  | methods: 
MsftUtils  | methods: 
MsftWriteEngine2  | methods: 
MSIde  | methods: 
MSIde_PortDeviceInfo  | methods: 
MSiSCSI_BootConfiguration  | methods: 
MSiSCSI_ConnectionStatistics  | methods: 
MSiSCSI_DiscoveryConfig  | methods: 
MSiSCSI_Eventlog  | methods: 
MSiSCSI_HBAInformation  | methods: 
MSiSCSI_HBASessionConfig  | methods: 
MSiSCSI_InitiatorInstanceFailureEvent  | methods: 
MSiSCSI_InitiatorInstanceStatistics  | methods: 
MSiSCSI_InitiatorLoginStatistics  | methods: 
MSiSCSI_InitiatorNodeFailureEvent  | methods: 
MSiSCSI_InitiatorSessionInfo  | methods: 
MSiSCSI_LB_Operations  | methods: SetLoadBalancePolicy
MSiSCSI_ManagementOperations  | methods: PingIPAddress
MSiSCSI_MMIPSECStats  | methods: 
MSiSCSI_NICConfig  | methods: 
MSiSCSI_NICPerformance  | methods: 
MSiSCSI_PortalInfoClass  | methods: 
MSiSCSI_QMIPSECStats  | methods: 
MSiSCSI_QueryLBPolicy  | methods: 
MSiSCSI_RADIUSConfig  | methods: 
MSiSCSI_RedirectPortalInfoClass  | methods: 
MSiSCSI_RequestTimeStatistics  | methods: 
MSiSCSI_SecurityCapabilities  | methods: 
MSiSCSI_SessionStatistics  | methods: 
MSiSCSI_TCPIPConfig  | methods: 
MSiSCSIInitiator_ConnectionInformation  | methods: 
MSiSCSIInitiator_DeviceOnSession  | methods: 
MSiSCSIInitiator_IKEPresharedKeyAuthenticationInfo  | methods: 
MSiSCSIInitiator_InitiatorClass  | methods: 
MSiSCSIInitiator_iSNSServerClass  | methods: Refresh
MSiSCSIInitiator_LUNList  | methods: 
MSiSCSIInitiator_MethodClass  | methods: RefreshTargetList,SetIScsiTunnelModeOuterAddress,SetIScsiIKEInfo,SetIScsiGroupPresharedKey,SetIScsiInitiatorCHAPSharedSecret,SetIScsiInitiatorRADIUSSharedSecret,SetIScsiInitiatorNodeName,SetupPersistentIScsiVolumes,ClearPersistentIScsiVolumes
MSiSCSIInitiator_PersistentDevices  | methods: 
MSiSCSIInitiator_PersistentLoginClass  | methods: 
MSiSCSIInitiator_Portal  | methods: 
MSiSCSIInitiator_PortalGroup  | methods: 
MSiSCSIInitiator_SendTargetPortalClass  | methods: Refresh
MSiSCSIInitiator_SessionClass  | methods: Logout,SendScsiInquiry,SendScsiReadCapacity,SendScsiReportLuns,AddConnection,RemoveConnection
MSiSCSIInitiator_TargetAddress  | methods: 
MSiSCSIInitiator_TargetClass  | methods: Login
MSiSCSIInitiator_TargetLoginOptions  | methods: 
MSiSCSIInitiator_TargetMappings  | methods: 
MSKerbTrace  | methods: 
MSKernelPpmClass  | methods: 
MSKeyboard  | methods: 
MSKeyboard_ClassInformation  | methods: 
MSKeyboard_ExtendedID  | methods: 
MSKeyboard_PortInformation  | methods: 
MSLSA_LookupIsolatedNameInTrustedDomains  | methods: 
